    Lp	    Lc	 Width	  Wall	File 
 0.490	 0.550	18.263	 0.000	                        
 0.400	 0.570	11.482	 4.620	                        
 0.310	 0.420	13.770	 3.080	                        
 2.430	 3.670	15.651	 0.000	                        
 1.790	 1.920	26.156	 0.000	                        
 4.510	 4.750	51.014	 0.000	                        
 0.190	 0.200	 0.000	 0.000	                        
 1.160	 1.450	46.131	 5.390	                        
 2.720	 2.810	27.131	10.780	                        
 0.820	 0.850	17.379	 7.700	                        
 2.050	 2.280	19.418	 0.000	                        
 1.100	 1.460	26.419	 0.000	                        
 0.760	 0.830	29.273	13.090	                        
 0.370	 0.720	24.707	 0.000	                        
 2.080	 2.250	24.834	 0.000	                        
 0.810	 0.960	22.156	 0.000	                        
 0.280	 0.460	17.316	 0.000	                        
 0.220	 0.230	17.198	 5.390	                        
 1.170	 1.450	35.227	 9.240	                        
 0.820	 1.580	32.600	 0.000	                        
 0.150	 0.150	 0.000	 0.000	                        
 0.280	 0.300	19.006	 9.240	                        
 0.340	 0.350	26.139	 3.080	                        
 0.600	 0.730	28.199	 0.000	                        
 0.400	 0.480	13.053	 0.000	                        
 0.710	 0.780	16.397	 0.000	                        
 0.100	 0.100	 0.000	 0.000	                        
 0.030	 0.030	 0.000	 0.000	                        
 1.510	 1.600	37.624	18.480	                        
 4.370	 4.620	45.370	 0.000	                        
 2.000	 2.540	38.177	 0.000	                        
 0.140	 0.140	 0.000	 0.000	                        
 1.200	 1.920	27.157	 0.000	                        
 0.720	 0.760	21.540	 6.930	                        
 0.420	 0.450	18.906	 8.470	                        
 0.270	 0.520	13.765	 6.160	                        
 1.160	 1.260	31.870	12.320	                        
 0.080	 0.080	 0.000	 0.000	                        
 0.210	 0.210	20.238	10.010	                        
 0.800	 0.830	26.174	 0.000	                        
 2.820	 3.020	34.476	 0.000	                        
 0.870	 1.090	38.942	16.940	                        
 0.630	 0.780	15.784	 0.000	                        
 0.930	 1.710	22.382	 0.000	                        
 0.830	 0.870	21.709	 0.000	                        
 1.410	 1.840	29.908	14.630	                        
 0.130	 0.130	 0.000	 0.000	                        
 0.610	 0.700	39.325	15.400	                        
 0.320	 0.330	10.838	 3.850	                        
 3.900	 4.250	21.240	 0.000	                        
 0.860	 1.140	27.569	 0.000	                        
 2.360	 2.740	17.821	 0.000	                        
 0.080	 0.080	 0.000	 0.000	                        
 3.090	 3.220	36.109	 0.000	                        
 0.200	 0.230	14.505	 0.000	                        
 0.090	 0.090	 0.000	 0.000	                        
 0.560	 0.640	36.623	13.090	                        
 1.000	 1.140	15.401	 7.700	                        
 0.110	 0.110	 0.000	 0.000	                        
 0.570	 0.580	20.559	 0.000	                        
 4.150	 5.080	20.177	 0.000	                        
 0.690	 0.730	20.486	 9.240	                        
 2.850	 3.040	25.222	 0.000	                        
 1.950	 3.030	21.856	 0.000	                        
 0.550	 0.910	19.261	 0.000	                        
 0.560	 0.580	42.839	12.320	                        
 1.230	 1.310	36.578	 0.000	                        
 1.490	 1.630	42.760	15.400	                        
 1.360	 1.590	22.456	10.780	                        
 2.120	 2.210	39.543	 0.000	                        
 0.120	 0.120	 0.000	 0.000	                        
 1.600	 1.740	26.689	 0.000	                        
 0.050	 0.050	 0.000	 0.000	                        
 0.350	 0.550	25.135	11.550	                        
 0.420	 0.570	20.087	 0.000	                        
 0.800	 1.040	26.066	 0.000	                        
 2.260	 2.490	 5.202	 1.540	                        
 1.250	 1.330	23.252	11.550	                        
 0.650	 1.100	25.261	 0.000	                        
 1.170	 1.290	28.516	 9.240	                        
 0.160	 0.280	 9.899	 3.850	                        
 3.320	 3.440	18.216	 0.000	                        
 1.580	 1.810	26.797	 0.000	                        
 1.130	 1.210	27.830	10.010	                        
 0.900	 1.380	22.197	 0.000	                        
 1.530	 1.630	18.540	 0.000	                        
 1.000	 1.250	31.365	 0.000	                        
 0.780	 1.430	29.443	 0.000	                        
 0.130	 0.130	 0.000	 0.000	                        
 0.600	 0.640	22.578	 0.770	                        
 1.070	 1.220	15.181	 0.000	                        
 1.150	 1.190	30.305	 0.000	                        
 0.060	 0.070	 0.000	 0.000	                        
 0.420	 0.530	14.634	 0.000	                        
 0.340	 0.350	12.763	 6.160	                        
 0.400	 0.580	19.062	 0.000	                        
 0.270	 0.300	13.962	 6.160	                        
 0.220	 0.270	18.595	 0.000	                        
 0.270	 0.280	16.471	 0.000	                        
 0.620	 0.630	22.044	10.780	                        
 2.330	 2.920	15.947	 3.080	                        
 1.640	 1.900	30.109	 0.000	                        
 0.040	 0.040	 0.000	 0.000	                        
 0.420	 0.520	25.539	 0.000	                        
 1.370	 1.670	30.522	10.780	                        
 1.750	 2.090	38.721	 0.000	                        
 2.460	 2.540	34.547	15.400	                        
 1.910	 2.080	24.603	 0.000	                        
 2.080	 2.390	26.832	 0.000	                        
 0.120	 0.120	 0.000	 0.000	                        
 3.640	 5.550	30.039	 0.000	                        
 0.780	 0.860	27.052	 0.000	                        
 0.580	 0.670	17.524	 6.930	                        
 0.640	 1.310	23.818	 0.000	                        
 1.380	 1.490	31.935	11.550	                        
 0.280	 0.310	17.255	 3.080	                        
 1.590	 1.800	30.800	13.090	                        
 0.040	 0.040	 0.000	 0.000	                        
 0.050	 0.050	 0.000	 0.000	                        
 0.090	 0.100	 0.000	 0.000	                        
 0.120	 0.120	 0.000	 0.000	                        
 2.290	 3.030	12.511	 6.160	                        
 0.160	 0.160	 0.000	 0.000	                        
 1.280	 1.330	15.285	 0.000	                        
